period,skim_period,purpose,survey_freq_dep,survey_freq_arr,model_freq_dep,model_freq_arr
11.75,3: MD,8: Joint Discretionary,967.2614686,1580.585328,2216,1371.0
11.75,3: MD,7: Joint Maintenance,1992.780812,4269.264283,3063,4508.0
11.75,3: MD,3: School,289.3820568,3239.83731,1679,6100.0
11.75,3: MD,Total,83668.66137,79035.84055,107014,97102.0
11.75,3: MD,2: University,4728.193788,3369.493426,3449,3517.0
11.75,3: MD,1: Work,13804.27141,12049.30148,17472,10012.0
12.25,3: MD,9: Work-based,30151.36925,16377.23968,24712,11969.0
12.25,3: MD,4: Escort,6432.920675,4410.841764,13625,12400.0
12.25,3: MD,6: Individual Discretionary,18380.79144,13466.94998,14821,14625.0
12.25,3: MD,5: Individual Maintenance,23650.49095,29109.79992,27923,39925.0
12.25,3: MD,8: Joint Discretionary,749.4955717,1340.161479,1764,1717.0
12.25,3: MD,7: Joint Maintenance,2748.243372,6898.761201,2909,4593.0
12.25,3: MD,3: School,1442.411827,2116.376302,1396,8770.0
12.25,3: MD,Total,106601.8279,91701.8236,107261,115447.0
12.25,3: MD,2: University,3280.813309,5259.74949,2968,8747.0
12.25,3: MD,1: Work,19765.2915,12721.94378,17143,12701.0
12.75,3: MD,9: Work-based,18336.74964,29221.82669,15220,27444.0
12.75,3: MD,4: Escort,9190.382931,5972.566089,14766,13596.0
12.75,3: MD,6: Individual Discretionary,16375.39719,19671.31178,10417,15118.0
12.75,3: MD,5: Individual Maintenance,27687.05105,26001.50709,27719,34647.0
12.75,3: MD,8: Joint Discretionary,1829.733712,5425.55054,1238,1864.0
12.75,3: MD,7: Joint Maintenance,1905.343259,5152.408249,2893,3800.0
12.75,3: MD,3: School,1395.243956,5705.861536,1044,12149.0
12.75,3: MD,Total,94256.42452,123986.6528,92678,129879.0
12.75,3: MD,2: University,1441.52943,12186.46964,2620,5528.0
12.75,3: MD,1: Work,16094.99334,14649.15116,16761,15733.0
13.25,3: MD,9: Work-based,12941.71453,26944.17261,7531,18344.0
13.25,3: MD,4: Escort,6434.809988,6109.280757,16328,15106.0
13.25,3: MD,6: Individual Discretionary,14074.76339,12870.6336,10457,15093.0
13.25,3: MD,5: Individual Maintenance,22162.53194,21423.60472,27429,32971.0
13.25,3: MD,8: Joint Discretionary,1303.142565,1952.236657,1214,1837.0
13.25,3: MD,7: Joint Maintenance,1339.121758,2901.507967,2780,3440.0
13.25,3: MD,3: School,1818.741777,10769.03862,1229,15370.0
13.25,3: MD,Total,81989.14578,109002.7958,85749,126671.0
13.25,3: MD,2: University,3248.762337,9754.235341,2141,4465.0
13.25,3: MD,1: Work,18665.55749,16278.08557,16640,20045.0
13.75,3: MD,9: Work-based,13097.68255,22565.93281,3963,9792.0
13.75,3: MD,4: Escort,12096.82263,8815.631428,54574,14656.0
13.75,3: MD,6: Individual Discretionary,11821.23879,28149.96592,10349,15252.0
13.75,3: MD,5: Individual Maintenance,22293.02531,25727.68421,26047,37132.0
13.75,3: MD,8: Joint Discretionary,1287.710218,3919.244859,1221,1830.0
13.75,3: MD,7: Joint Maintenance,1949.128573,1963.469808,2608,3780.0
13.75,3: MD,3: School,882.8301816,4868.747841,1408,18736.0
13.75,3: MD,Total,72131.09506,120859.6594,117949,132496.0
13.75,3: MD,2: University,965.8960768,11599.63455,1845,4716.0
13.75,3: MD,1: Work,7736.760735,13249.34799,15934,26602.0
14.25,3: MD,9: Work-based,11045.0362,14480.06463,2961,6333.0
14.25,3: MD,4: Escort,24183.87584,12438.06639,89400,51410.0
14.25,3: MD,6: Individual Discretionary,14860.5306,13858.14384,9885,13148.0
14.25,3: MD,5: Individual Maintenance,31979.08964,25203.42021,24439,33090.0
14.25,3: MD,8: Joint Discretionary,317.3492617,1298.745775,1282,1751.0
14.25,3: MD,7: Joint Maintenance,2795.050483,1291.75698,2580,3358.0
14.25,3: MD,3: School,2754.056059,18693.2567,1584,49158.0
14.25,3: MD,Total,100826.2321,116793.5906,148856,198406.0
