OwnershipCategory,tour_mode,purpose,survey_freq,model_freq
1: 1+ Veh/Adults > Veh,05: Bike,7: Joint Maintenance,21.0,0.0
1: 1+ Veh/Adults > Veh,06: Walk to Transit,7: Joint Maintenance,815.0,0.0
1: 1+ Veh/Adults > Veh,07: PNR to Transit,7: Joint Maintenance,12.0,0.0
1: 1+ Veh/Adults > Veh,08: KNR to Transit,7: Joint Maintenance,110.0,0.0
1: 1+ Veh/Adults > Veh,09: TNC to Transit,7: Joint Maintenance,0.0,0.0
1: 1+ Veh/Adults > Veh,01: SOV,8: Joint Discretionary,0.0,0.0
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,8: Joint Discretionary,12756.0,0.0
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,8: Joint Discretionary,2125.0,0.0
1: 1+ Veh/Adults > Veh,04: Walk,8: Joint Discretionary,2806.0,0.0
1: 1+ Veh/Adults > Veh,05: Bike,8: Joint Discretionary,22.0,0.0
1: 1+ Veh/Adults > Veh,06: Walk to Transit,8: Joint Discretionary,609.0,0.0
1: 1+ Veh/Adults > Veh,07: PNR to Transit,8: Joint Discretionary,91.0,0.0
1: 1+ Veh/Adults > Veh,08: KNR to Transit,8: Joint Discretionary,277.0,0.0
1: 1+ Veh/Adults > Veh,09: TNC to Transit,8: Joint Discretionary,0.0,0.0
1: 1+ Veh/Adults > Veh,01: SOV,9: Work-based,10869.0,11402.0
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,9: Work-based,6253.0,5954.0
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,9: Work-based,192.0,313.0
1: 1+ Veh/Adults > Veh,04: Walk,9: Work-based,4326.0,4052.0
1: 1+ Veh/Adults > Veh,05: Bike,9: Work-based,50.0,0.0
1: 1+ Veh/Adults > Veh,06: Walk to Transit,9: Work-based,262.0,290.0
1: 1+ Veh/Adults > Veh,07: PNR to Transit,9: Work-based,31.0,0.0
1: 1+ Veh/Adults > Veh,08: KNR to Transit,9: Work-based,118.0,0.0
1: 1+ Veh/Adults > Veh,09: TNC to Transit,9: Work-based,8.0,0.0
1: 1+ Veh/Adults > Veh,01: SOV,Total,353324.0,351112.0
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,Total,334265.0,321562.0
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,Total,244638.0,218062.0
1: 1+ Veh/Adults > Veh,04: Walk,Total,97459.0,92447.0
1: 1+ Veh/Adults > Veh,05: Bike,Total,16278.0,14243.0
1: 1+ Veh/Adults > Veh,06: Walk to Transit,Total,44239.0,41741.0
1: 1+ Veh/Adults > Veh,07: PNR to Transit,Total,2717.0,2616.0
1: 1+ Veh/Adults > Veh,08: KNR to Transit,Total,10912.0,10035.0
1: 1+ Veh/Adults > Veh,09: TNC to Transit,Total,30611.0,0.0
2: Vehicles >= Adults,01: SOV,1: Work,579545.0,598567.0
2: Vehicles >= Adults,02: Shared Ride 2,1: Work,121278.0,127345.0
2: Vehicles >= Adults,03: Shared Ride 3+,1: Work,74424.0,76634.0
