tourdur,purpose,survey_freq,model_freq
18.5,8: Joint Discretionary,0,0.0
18.5,7: Joint Maintenance,0,0.0
18.5,3: School,0,22.0
18.5,Total,24,44.0
18.5,2: University,0,8.0
18.5,1: Work,17,3.0
19,9: Work-based,0,0.0
19,4: Escort,0,0.0
19,6: Individual Discretionary,0,2.0
19,5: Individual Maintenance,0,0.0
19,8: Joint Discretionary,0,0.0
19,7: Joint Maintenance,0,0.0
19,3: School,0,24.0
19,Total,0,33.0
19,2: University,0,6.0
19,1: Work,0,1.0
19.5,9: Work-based,0,0.0
19.5,4: Escort,0,0.0
19.5,6: Individual Discretionary,0,2.0
19.5,5: Individual Maintenance,0,1.0
19.5,8: Joint Discretionary,0,0.0
19.5,7: Joint Maintenance,0,0.0
19.5,3: School,0,14.0
19.5,Total,0,21.0
19.5,2: University,0,4.0
19.5,1: Work,0,0.0
20,9: Work-based,0,0.0
20,4: Escort,0,0.0
20,6: Individual Discretionary,0,0.0
20,5: Individual Maintenance,0,1.0
20,8: Joint Discretionary,0,0.0
20,7: Joint Maintenance,0,0.0
20,3: School,0,6.0
20,Total,0,7.0
20,2: University,0,0.0
20,1: Work,0,0.0
