distbin,purpose,survey_freq,model_freq
34,9: Work-based,8.0,82
35,9: Work-based,0.0,87
36,9: Work-based,267.0,73
37,9: Work-based,0.0,76
38,9: Work-based,0.0,78
39,9: Work-based,0.0,66
4,9: Work-based,7880.0,1552
40,9: Work-based,0.0,61
41,9: Work-based,0.0,70
42,9: Work-based,1655.0,62
5,9: Work-based,2127.0,1156
6,9: Work-based,6963.0,1013
7,9: Work-based,1091.0,775
8,9: Work-based,618.0,648
9,9: Work-based,203.0,521
1,Total,170156.0,229631
10,Total,45938.0,83278
11,Total,41871.0,70356
12,Total,39972.0,60527
13,Total,26514.0,53263
14,Total,21159.0,47491
15,Total,14134.0,42611
16,Total,13530.0,36990
17,Total,11808.0,32025
18,Total,10268.0,29007
19,Total,12601.0,25561
2,Total,1522968.0,1489633
20,Total,12099.0,22782
21,Total,10388.0,19957
22,Total,4438.0,18098
23,Total,5108.0,16183
24,Total,5372.0,14416
25,Total,4359.0,13116
26,Total,6176.0,12150
27,Total,4183.0,10780
28,Total,5118.0,9870
29,Total,7036.0,9018
3,Total,469792.0,577212
30,Total,2195.0,8248
31,Total,1851.0,7101
32,Total,2123.0,6553
33,Total,2880.0,5774
34,Total,6273.0,5240
35,Total,1189.0,4901
36,Total,4310.0,4227
37,Total,1696.0,3744
38,Total,409.0,3744
39,Total,893.0,2936
4,Total,273122.0,344726
40,Total,954.0,2700
41,Total,1104.0,2472
42,Total,17295.0,2531
5,Total,193530.0,248654
6,Total,129596.0,193895
7,Total,91803.0,147418
8,Total,58057.0,119775
9,Total,49249.0,99485
43,1: Work,0.0,652
43,2: University,0.0,32
43,3: School,0.0,882
43,4: Escort,0.0,129
43,5: Individual Maintenance,0.0,180
43,6: Individual Discretionary,0.0,113
43,7: Joint Maintenance,0.0,34
43,8: Joint Discretionary,0.0,22
43,9: Work-based,0.0,44
100000,1: Work,0.0,4629
100000,2: University,0.0,226
100000,3: School,0.0,8834
100000,4: Escort,0.0,952
100000,5: Individual Maintenance,0.0,1421
100000,6: Individual Discretionary,0.0,932
100000,7: Joint Maintenance,0.0,349
100000,8: Joint Discretionary,0.0,208
100000,9: Work-based,0.0,868
43,Total,0.0,2088
100000,Total,0.0,18419
