trip_mode,tour_mode,purpose,survey_value,model_value
09: TNC to Transit,08: KNR to Transit,2: University,0.0,0.0
01: SOV,13: School Bus,2: University,0.0,0.0
02: Shared Ride 2,13: School Bus,2: University,0.0,0.0
03: Shared Ride 3+,13: School Bus,2: University,0.0,0.0
04: Walk,13: School Bus,2: University,0.0,0.0
05: Bike,13: School Bus,2: University,0.0,0.0
06: Walk to Transit,13: School Bus,2: University,0.0,0.0
07: PNR to Transit,13: School Bus,2: University,0.0,0.0
08: KNR to Transit,13: School Bus,2: University,0.0,0.0
09: TNC to Transit,13: School Bus,2: University,0.0,0.0
01: SOV,Total,2: University,170163.0,163380.0
02: Shared Ride 2,Total,2: University,43459.0,47149.0
03: Shared Ride 3+,Total,2: University,20896.0,26094.0
04: Walk,Total,2: University,25385.0,27682.0
05: Bike,Total,2: University,595.0,3807.0
06: Walk to Transit,Total,2: University,35279.0,29365.0
07: PNR to Transit,Total,2: University,1783.0,3580.0
08: KNR to Transit,Total,2: University,3259.0,3278.0
09: TNC to Transit,Total,2: University,836.0,0.0
01: SOV,01: SOV,3: School,46479.0,38006.0
02: Shared Ride 2,01: SOV,3: School,0.0,0.0
03: Shared Ride 3+,01: SOV,3: School,0.0,0.0
04: Walk,01: SOV,3: School,0.0,0.0
05: Bike,01: SOV,3: School,0.0,0.0
06: Walk to Transit,01: SOV,3: School,0.0,0.0
07: PNR to Transit,01: SOV,3: School,0.0,0.0
08: KNR to Transit,01: SOV,3: School,0.0,0.0
09: TNC to Transit,01: SOV,3: School,0.0,0.0
01: SOV,02: Shared Ride 2,3: School,19417.0,415.0
02: Shared Ride 2,02: Shared Ride 2,3: School,534295.0,546275.0
03: Shared Ride 3+,02: Shared Ride 2,3: School,0.0,35065.0
04: Walk,02: Shared Ride 2,3: School,28879.0,23407.0
05: Bike,02: Shared Ride 2,3: School,0.0,0.0
06: Walk to Transit,02: Shared Ride 2,3: School,0.0,0.0
07: PNR to Transit,02: Shared Ride 2,3: School,0.0,0.0
08: KNR to Transit,02: Shared Ride 2,3: School,0.0,0.0
09: TNC to Transit,02: Shared Ride 2,3: School,0.0,0.0
01: SOV,03: Shared Ride 3+,3: School,3123.0,2882.0
02: Shared Ride 2,03: Shared Ride 3+,3: School,125373.0,126010.0
03: Shared Ride 3+,03: Shared Ride 3+,3: School,640877.0,635267.0
04: Walk,03: Shared Ride 3+,3: School,35332.0,39581.0
05: Bike,03: Shared Ride 3+,3: School,0.0,0.0
06: Walk to Transit,03: Shared Ride 3+,3: School,0.0,0.0
07: PNR to Transit,03: Shared Ride 3+,3: School,0.0,0.0
08: KNR to Transit,03: Shared Ride 3+,3: School,0.0,0.0
09: TNC to Transit,03: Shared Ride 3+,3: School,0.0,0.0
01: SOV,04: Walk,3: School,0.0,0.0
02: Shared Ride 2,04: Walk,3: School,0.0,0.0
03: Shared Ride 3+,04: Walk,3: School,0.0,0.0
04: Walk,04: Walk,3: School,64424.0,53052.0
05: Bike,04: Walk,3: School,0.0,0.0
06: Walk to Transit,04: Walk,3: School,0.0,0.0
07: PNR to Transit,04: Walk,3: School,0.0,0.0
08: KNR to Transit,04: Walk,3: School,0.0,0.0
09: TNC to Transit,04: Walk,3: School,0.0,0.0
01: SOV,05: Bike,3: School,0.0,0.0
02: Shared Ride 2,05: Bike,3: School,63.0,0.0
03: Shared Ride 3+,05: Bike,3: School,280.0,0.0
04: Walk,05: Bike,3: School,197.0,0.0
05: Bike,05: Bike,3: School,15102.0,14904.0
06: Walk to Transit,05: Bike,3: School,0.0,0.0
07: PNR to Transit,05: Bike,3: School,0.0,0.0
08: KNR to Transit,05: Bike,3: School,0.0,0.0
09: TNC to Transit,05: Bike,3: School,0.0,0.0
01: SOV,06: Walk to Transit,3: School,0.0,0.0
02: Shared Ride 2,06: Walk to Transit,3: School,0.0,0.0
03: Shared Ride 3+,06: Walk to Transit,3: School,0.0,1810.0
04: Walk,06: Walk to Transit,3: School,0.0,630.0
05: Bike,06: Walk to Transit,3: School,0.0,0.0
06: Walk to Transit,06: Walk to Transit,3: School,10526.0,11876.0
07: PNR to Transit,06: Walk to Transit,3: School,0.0,0.0
08: KNR to Transit,06: Walk to Transit,3: School,0.0,0.0
09: TNC to Transit,06: Walk to Transit,3: School,0.0,0.0
01: SOV,07: PNR to Transit,3: School,0.0,0.0
02: Shared Ride 2,07: PNR to Transit,3: School,0.0,1.0
03: Shared Ride 3+,07: PNR to Transit,3: School,0.0,0.0
04: Walk,07: PNR to Transit,3: School,0.0,0.0
05: Bike,07: PNR to Transit,3: School,0.0,0.0
06: Walk to Transit,07: PNR to Transit,3: School,22.0,0.0
07: PNR to Transit,07: PNR to Transit,3: School,32.0,2.0
08: KNR to Transit,07: PNR to Transit,3: School,0.0,0.0
09: TNC to Transit,07: PNR to Transit,3: School,0.0,0.0
01: SOV,08: KNR to Transit,3: School,0.0,0.0
02: Shared Ride 2,08: KNR to Transit,3: School,0.0,207.0
