OwnershipCategory,tour_mode,purpose,freq
2: Vehicles >= Adults,06: Walk to Transit,1: Work,3747
2: Vehicles >= Adults,06: Walk to Transit,2: University,1693
2: Vehicles >= Adults,06: Walk to Transit,3: School,557
2: Vehicles >= Adults,06: Walk to Transit,4: Escort,3
2: Vehicles >= Adults,06: Walk to Transit,5: Individual Maintenance,944
2: Vehicles >= Adults,06: Walk to Transit,6: Individual Discretionary,1127
2: Vehicles >= Adults,06: Walk to Transit,9: Work-based,86
2: Vehicles >= Adults,07: PNR to Transit,1: Work,2736
2: Vehicles >= Adults,07: PNR to Transit,2: University,978
2: Vehicles >= Adults,07: PNR to Transit,6: Individual Discretionary,188
2: Vehicles >= Adults,08: KNR to Transit,1: Work,1384
2: Vehicles >= Adults,08: KNR to Transit,2: University,727
2: Vehicles >= Adults,08: KNR to Transit,3: School,854
2: Vehicles >= Adults,08: KNR to Transit,4: Escort,1
2: Vehicles >= Adults,08: KNR to Transit,5: Individual Maintenance,394
2: Vehicles >= Adults,08: KNR to Transit,6: Individual Discretionary,383
2: Vehicles >= Adults,09: TNC to Transit,1: Work,3
2: Vehicles >= Adults,09: TNC to Transit,6: Individual Discretionary,1553
2: Vehicles >= Adults,10: Taxi,1: Work,51
2: Vehicles >= Adults,10: Taxi,2: University,18
2: Vehicles >= Adults,10: Taxi,4: Escort,80
2: Vehicles >= Adults,10: Taxi,5: Individual Maintenance,86
2: Vehicles >= Adults,10: Taxi,6: Individual Discretionary,2497
2: Vehicles >= Adults,10: Taxi,9: Work-based,106
2: Vehicles >= Adults,11: TNC Single,1: Work,101
2: Vehicles >= Adults,11: TNC Single,2: University,19
2: Vehicles >= Adults,11: TNC Single,4: Escort,95
2: Vehicles >= Adults,11: TNC Single,5: Individual Maintenance,100
2: Vehicles >= Adults,11: TNC Single,6: Individual Discretionary,2498
2: Vehicles >= Adults,11: TNC Single,9: Work-based,114
2: Vehicles >= Adults,12: TNC Shared,1: Work,513
2: Vehicles >= Adults,12: TNC Shared,2: University,103
2: Vehicles >= Adults,12: TNC Shared,4: Escort,243
2: Vehicles >= Adults,12: TNC Shared,5: Individual Maintenance,299
2: Vehicles >= Adults,12: TNC Shared,6: Individual Discretionary,8524
2: Vehicles >= Adults,12: TNC Shared,9: Work-based,225
2: Vehicles >= Adults,13: School Bus,3: School,33102
