stop_period,tour_purpose,freq,stop_skim_period
15.25,8: Joint Discretionary,6051,3: MD
15.25,9: Work-based,5895,3: MD
15.75,1: Work,141341,4: PM
15.75,2: University,9120,4: PM
15.75,3: School,107963,4: PM
15.75,4: Escort,137310,4: PM
15.75,5: Individual Maintenance,82260,4: PM
15.75,6: Individual Discretionary,36991,4: PM
15.75,7: Joint Maintenance,10326,4: PM
15.75,8: Joint Discretionary,4735,4: PM
15.75,9: Work-based,4284,4: PM
16.25,1: Work,168808,4: PM
16.25,2: University,8901,4: PM
16.25,3: School,63046,4: PM
16.25,4: Escort,118631,4: PM
16.25,5: Individual Maintenance,86187,4: PM
16.25,6: Individual Discretionary,41396,4: PM
16.25,7: Joint Maintenance,11325,4: PM
16.25,8: Joint Discretionary,6032,4: PM
16.25,9: Work-based,3485,4: PM
16.75,1: Work,218754,4: PM
16.75,2: University,12035,4: PM
16.75,3: School,54642,4: PM
16.75,4: Escort,77047,4: PM
16.75,5: Individual Maintenance,76348,4: PM
16.75,6: Individual Discretionary,49368,4: PM
16.75,7: Joint Maintenance,10392,4: PM
16.75,8: Joint Discretionary,7369,4: PM
16.75,9: Work-based,3114,4: PM
17.25,1: Work,250510,4: PM
17.25,2: University,10799,4: PM
17.25,3: School,51890,4: PM
17.25,4: Escort,63783,4: PM
17.25,5: Individual Maintenance,74149,4: PM
17.25,6: Individual Discretionary,62057,4: PM
17.25,7: Joint Maintenance,10974,4: PM
17.25,8: Joint Discretionary,10844,4: PM
17.25,9: Work-based,2271,4: PM
17.75,1: Work,220790,4: PM
17.75,2: University,9550,4: PM
17.75,3: School,42503,4: PM
17.75,4: Escort,58157,4: PM
17.75,5: Individual Maintenance,70006,4: PM
17.75,6: Individual Discretionary,70088,4: PM
17.75,7: Joint Maintenance,11817,4: PM
17.75,8: Joint Discretionary,12835,4: PM
17.75,9: Work-based,1853,4: PM
18.25,1: Work,157583,4: PM
18.25,2: University,8930,4: PM
18.25,3: School,21802,4: PM
18.25,4: Escort,51532,4: PM
18.25,5: Individual Maintenance,71420,4: PM
18.25,6: Individual Discretionary,85292,4: PM
18.25,7: Joint Maintenance,12572,4: PM
18.25,8: Joint Discretionary,16891,4: PM
18.25,9: Work-based,1716,4: PM
18.75,1: Work,101627,4: PM
18.75,2: University,8268,4: PM
18.75,3: School,11920,4: PM
18.75,4: Escort,45181,4: PM
18.75,5: Individual Maintenance,67416,4: PM
18.75,6: Individual Discretionary,92032,4: PM
18.75,7: Joint Maintenance,12579,4: PM
18.75,8: Joint Discretionary,19984,4: PM
18.75,9: Work-based,1553,4: PM
19.25,1: Work,91237,5: EV
19.25,2: University,6104,5: EV
19.25,3: School,7300,5: EV
19.25,4: Escort,42016,5: EV
19.25,5: Individual Maintenance,61056,5: EV
19.25,6: Individual Discretionary,78762,5: EV
19.25,7: Joint Maintenance,11638,5: EV
19.25,8: Joint Discretionary,16307,5: EV
19.25,9: Work-based,1529,5: EV
19.75,1: Work,62951,5: EV
19.75,2: University,6042,5: EV
19.75,3: School,4126,5: EV
19.75,4: Escort,37981,5: EV
19.75,5: Individual Maintenance,59569,5: EV
19.75,6: Individual Discretionary,64747,5: EV
19.75,7: Joint Maintenance,11660,5: EV
19.75,8: Joint Discretionary,13070,5: EV
19.75,9: Work-based,1388,5: EV
20.25,1: Work,46714,5: EV
20.25,2: University,5949,5: EV
20.25,3: School,2369,5: EV
20.25,4: Escort,32124,5: EV
20.25,5: Individual Maintenance,52530,5: EV
20.25,6: Individual Discretionary,59653,5: EV
20.25,7: Joint Maintenance,10170,5: EV
20.25,8: Joint Discretionary,11980,5: EV
20.25,9: Work-based,1375,5: EV
20.75,1: Work,37075,5: EV
20.75,2: University,5408,5: EV
20.75,3: School,1323,5: EV
20.75,4: Escort,27030,5: EV
20.75,5: Individual Maintenance,38286,5: EV
20.75,6: Individual Discretionary,60108,5: EV
20.75,7: Joint Maintenance,7402,5: EV
20.75,8: Joint Discretionary,11428,5: EV
20.75,9: Work-based,1188,5: EV
21.25,1: Work,31256,5: EV
21.25,2: University,4902,5: EV
21.25,3: School,728,5: EV
21.25,4: Escort,23331,5: EV
21.25,5: Individual Maintenance,26950,5: EV
21.25,6: Individual Discretionary,60489,5: EV
21.25,7: Joint Maintenance,4970,5: EV
21.25,8: Joint Discretionary,10458,5: EV
21.25,9: Work-based,1145,5: EV
21.75,1: Work,26692,5: EV
21.75,2: University,3935,5: EV
21.75,3: School,774,5: EV
21.75,4: Escort,20096,5: EV
21.75,5: Individual Maintenance,19276,5: EV
21.75,6: Individual Discretionary,25916,5: EV
21.75,7: Joint Maintenance,3541,5: EV
21.75,8: Joint Discretionary,4181,5: EV
21.75,9: Work-based,1066,5: EV
22.25,1: Work,23846,5: EV
22.25,2: University,3309,5: EV
22.25,3: School,748,5: EV
22.25,4: Escort,17089,5: EV
22.25,5: Individual Maintenance,13849,5: EV
22.25,6: Individual Discretionary,22935,5: EV
22.25,7: Joint Maintenance,2406,5: EV
22.25,8: Joint Discretionary,2899,5: EV
22.25,9: Work-based,977,5: EV
22.75,1: Work,21761,5: EV
22.75,2: University,2543,5: EV
22.75,3: School,792,5: EV
22.75,4: Escort,14984,5: EV
22.75,5: Individual Maintenance,9909,5: EV
22.75,6: Individual Discretionary,15042,5: EV
22.75,7: Joint Maintenance,1607,5: EV
22.75,8: Joint Discretionary,1659,5: EV
22.75,9: Work-based,952,5: EV
23.25,1: Work,21876,5: EV
23.25,2: University,1770,5: EV
23.25,3: School,771,5: EV
23.25,4: Escort,12713,5: EV
23.25,5: Individual Maintenance,7365,5: EV
23.25,6: Individual Discretionary,12397,5: EV
23.25,7: Joint Maintenance,1075,5: EV
23.25,8: Joint Discretionary,1302,5: EV
23.25,9: Work-based,793,5: EV
23.75,1: Work,24887,5: EV
23.75,2: University,1431,5: EV
23.75,3: School,755,5: EV
23.75,4: Escort,10889,5: EV
23.75,5: Individual Maintenance,5294,5: EV
23.75,6: Individual Discretionary,6885,5: EV
23.75,7: Joint Maintenance,742,5: EV
23.75,8: Joint Discretionary,640,5: EV
23.75,9: Work-based,607,5: EV
24.25,1: Work,41509,5: EV
24.25,2: University,1015,5: EV
24.25,3: School,742,5: EV
24.25,4: Escort,10550,5: EV
24.25,5: Individual Maintenance,3940,5: EV
24.25,6: Individual Discretionary,6321,5: EV
24.25,7: Joint Maintenance,510,5: EV
24.25,8: Joint Discretionary,595,5: EV
24.25,9: Work-based,385,5: EV
