distbin,District,purpose,value
47,5: East Suburban,Work,75.0
47,6: North County West,Work,128.0
47,7: North County East,Work,195.0
47,8: East County,Work,87.0
48,1: Downtown,Work,1.0
48,2: Central,Work,12.0
48,3: North City,Work,26.0
48,4: South Suburban,Work,60.0
48,5: East Suburban,Work,70.0
48,6: North County West,Work,110.0
48,7: North County East,Work,157.0
48,8: East County,Work,86.0
49,1: Downtown,Work,1.0
49,2: Central,Work,12.0
49,3: North City,Work,29.0
49,4: South Suburban,Work,61.0
49,5: East Suburban,Work,68.0
49,6: North County West,Work,87.0
49,7: North County East,Work,152.0
49,8: East County,Work,77.0
50,2: Central,Work,8.0
50,3: North City,Work,13.0
50,4: South Suburban,Work,44.0
50,5: East Suburban,Work,43.0
50,6: North County West,Work,66.0
50,7: North County East,Work,96.0
50,8: East County,Work,79.0
99999,1: Downtown,Work,5.0
99999,2: Central,Work,61.0
99999,3: North City,Work,77.0
99999,4: South Suburban,Work,183.0
99999,5: East Suburban,Work,198.0
99999,6: North County West,Work,266.0
99999,7: North County East,Work,566.0
99999,8: East County,Work,1007.0
1,1: Downtown,University,587.0
1,2: Central,University,2195.0
1,3: North City,University,7197.0
1,4: South Suburban,University,464.0
1,5: East Suburban,University,341.0
1,6: North County West,University,237.0
1,7: North County East,University,634.0
1,8: East County,University,10.0
2,1: Downtown,University,222.0
2,2: Central,University,1741.0
2,3: North City,University,3335.0
2,4: South Suburban,University,1559.0
2,5: East Suburban,University,633.0
2,6: North County West,University,719.0
2,7: North County East,University,1361.0
2,8: East County,University,46.0
3,1: Downtown,University,60.0
3,2: Central,University,1728.0
3,3: North City,University,3940.0
3,4: South Suburban,University,2439.0
3,5: East Suburban,University,1317.0
3,6: North County West,University,844.0
3,7: North County East,University,1503.0
3,8: East County,University,27.0
4,1: Downtown,University,11.0
4,2: Central,University,1625.0
4,3: North City,University,4037.0
4,4: South Suburban,University,2054.0
4,5: East Suburban,University,1642.0
4,6: North County West,University,1312.0
4,7: North County East,University,2606.0
4,8: East County,University,28.0
5,1: Downtown,University,30.0
5,2: Central,University,1895.0
5,3: North City,University,2793.0
5,4: South Suburban,University,1557.0
5,5: East Suburban,University,1845.0
5,6: North County West,University,1471.0
5,7: North County East,University,1484.0
5,8: East County,University,15.0
6,1: Downtown,University,70.0
6,2: Central,University,2711.0
6,3: North City,University,3253.0
6,4: South Suburban,University,951.0
6,5: East Suburban,University,1937.0
6,6: North County West,University,1688.0
6,7: North County East,University,1362.0
6,8: East County,University,
7,1: Downtown,University,52.0
7,2: Central,University,2790.0
7,3: North City,University,3494.0
7,4: South Suburban,University,1078.0
7,5: East Suburban,University,1600.0
7,6: North County West,University,1560.0
7,7: North County East,University,1399.0
7,8: East County,University,6.0
8,1: Downtown,University,184.0
8,2: Central,University,2899.0
8,3: North City,University,2810.0
8,4: South Suburban,University,550.0
8,5: East Suburban,University,1723.0
8,6: North County West,University,1267.0
8,7: North County East,University,1744.0
8,8: East County,University,5.0
9,1: Downtown,University,115.0
9,2: Central,University,2742.0
9,3: North City,University,3068.0
9,4: South Suburban,University,745.0
9,5: East Suburban,University,2098.0
9,6: North County West,University,1454.0
9,7: North County East,University,1754.0
9,8: East County,University,13.0
10,1: Downtown,University,124.0
10,2: Central,University,2641.0
10,3: North City,University,3331.0
10,4: South Suburban,University,753.0
10,5: East Suburban,University,1486.0
10,6: North County West,University,1064.0
10,7: North County East,University,1222.0
10,8: East County,University,11.0
11,1: Downtown,University,57.0
11,2: Central,University,2010.0
11,3: North City,University,2837.0
11,4: South Suburban,University,940.0
11,5: East Suburban,University,1273.0
11,6: North County West,University,903.0
11,7: North County East,University,1003.0
11,8: East County,University,13.0
12,1: Downtown,University,5.0
12,2: Central,University,2294.0
12,3: North City,University,2394.0
12,4: South Suburban,University,851.0
12,5: East Suburban,University,1142.0
12,6: North County West,University,1055.0
12,7: North County East,University,538.0
12,8: East County,University,28.0
13,1: Downtown,University,12.0
13,2: Central,University,1669.0
13,3: North City,University,1837.0
13,4: South Suburban,University,1202.0
13,5: East Suburban,University,873.0
13,6: North County West,University,848.0
13,7: North County East,University,384.0
13,8: East County,University,7.0
14,1: Downtown,University,61.0
14,2: Central,University,1487.0
14,3: North City,University,2259.0
14,4: South Suburban,University,1128.0
14,5: East Suburban,University,882.0
14,6: North County West,University,817.0
14,7: North County East,University,295.0
14,8: East County,University,6.0
15,1: Downtown,University,69.0
15,2: Central,University,899.0
15,3: North City,University,1786.0
15,4: South Suburban,University,1132.0
15,5: East Suburban,University,808.0
15,6: North County West,University,896.0
15,7: North County East,University,364.0
15,8: East County,University,2.0
16,1: Downtown,University,67.0
16,2: Central,University,657.0
16,3: North City,University,1780.0
16,4: South Suburban,University,966.0
16,5: East Suburban,University,722.0
16,6: North County West,University,555.0
16,7: North County East,University,424.0
16,8: East County,University,16.0
17,1: Downtown,University,21.0
17,2: Central,University,423.0
17,3: North City,University,1406.0
17,4: South Suburban,University,1041.0
17,5: East Suburban,University,711.0
17,6: North County West,University,657.0
17,7: North County East,University,436.0
17,8: East County,University,9.0
18,1: Downtown,University,5.0
18,2: Central,University,330.0
18,3: North City,University,1556.0
18,4: South Suburban,University,1168.0
18,5: East Suburban,University,658.0
18,6: North County West,University,351.0
18,7: North County East,University,678.0
18,8: East County,University,5.0
19,1: Downtown,University,1.0
19,2: Central,University,290.0
19,3: North City,University,1104.0
19,4: South Suburban,University,891.0
19,5: East Suburban,University,527.0
19,6: North County West,University,348.0
19,7: North County East,University,590.0
19,8: East County,University,35.0
20,1: Downtown,University,2.0
20,2: Central,University,179.0
20,3: North City,University,1010.0
20,4: South Suburban,University,847.0
20,5: East Suburban,University,464.0
20,6: North County West,University,188.0
