period,purpose,freq_dep,freq_arr,skim_period
17.25,6: Individual Discretionary,25355,15897.0,4: PM
17.25,7: Joint Maintenance,3739,3469.0,4: PM
17.25,8: Joint Discretionary,5321,2414.0,4: PM
17.25,9: Work-based,893,1146.0,4: PM
17.75,1: Work,8487,121913.0,4: PM
17.75,2: University,2297,4532.0,4: PM
17.75,3: School,1379,27039.0,4: PM
17.75,4: Escort,19121,22918.0,4: PM
17.75,5: Individual Maintenance,22489,22899.0,4: PM
17.75,6: Individual Discretionary,32235,18429.0,4: PM
17.75,7: Joint Maintenance,4203,3294.0,4: PM
17.75,8: Joint Discretionary,6711,2968.0,4: PM
17.75,9: Work-based,785,847.0,4: PM
18.25,1: Work,7534,85734.0,4: PM
18.25,2: University,1705,4266.0,4: PM
18.25,3: School,985,13687.0,4: PM
18.25,4: Escort,17273,19343.0,4: PM
18.25,5: Individual Maintenance,23662,25073.0,4: PM
18.25,6: Individual Discretionary,38449,20427.0,4: PM
18.25,7: Joint Maintenance,4609,3912.0,4: PM
18.25,8: Joint Discretionary,8732,3578.0,4: PM
18.25,9: Work-based,745,760.0,4: PM
18.75,1: Work,6419,54560.0,4: PM
18.75,2: University,1373,4133.0,4: PM
18.75,3: School,713,7260.0,4: PM
18.75,4: Escort,15341,17532.0,4: PM
18.75,5: Individual Maintenance,24664,21308.0,4: PM
18.75,6: Individual Discretionary,41592,23534.0,4: PM
18.75,7: Joint Maintenance,4955,3513.0,4: PM
18.75,8: Joint Discretionary,10571,4448.0,4: PM
18.75,9: Work-based,611,718.0,4: PM
19.25,1: Work,5574,48938.0,5: EV
19.25,2: University,209,3736.0,5: EV
19.25,3: School,430,4391.0,5: EV
19.25,4: Escort,13507,16172.0,5: EV
19.25,5: Individual Maintenance,18169,22525.0,5: EV
19.25,6: Individual Discretionary,23592,26908.0,5: EV
19.25,7: Joint Maintenance,3581,4048.0,5: EV
19.25,8: Joint Discretionary,4906,5687.0,5: EV
19.25,9: Work-based,620,723.0,5: EV
19.75,1: Work,4662,32364.0,5: EV
19.75,2: University,198,3720.0,5: EV
19.75,3: School,315,2450.0,5: EV
19.75,4: Escort,11346,14016.0,5: EV
19.75,5: Individual Maintenance,13573,23496.0,5: EV
19.75,6: Individual Discretionary,9095,29313.0,5: EV
19.75,7: Joint Maintenance,2491,4469.0,5: EV
19.75,8: Joint Discretionary,1579,6550.0,5: EV
19.75,9: Work-based,576,638.0,5: EV
20.25,1: Work,3613,24309.0,5: EV
20.25,2: University,233,3753.0,5: EV
20.25,3: School,212,1319.0,5: EV
20.25,4: Escort,10015,12009.0,5: EV
20.25,5: Individual Maintenance,9483,24234.0,5: EV
20.25,6: Individual Discretionary,6943,31662.0,5: EV
20.25,7: Joint Maintenance,1596,4679.0,5: EV
20.25,8: Joint Discretionary,1244,6797.0,5: EV
20.25,9: Work-based,506,680.0,5: EV
20.75,1: Work,2825,19475.0,5: EV
20.75,2: University,238,3386.0,5: EV
20.75,3: School,148,699.0,5: EV
20.75,4: Escort,8331,10373.0,5: EV
20.75,5: Individual Maintenance,6550,17094.0,5: EV
20.75,6: Individual Discretionary,4965,32256.0,5: EV
20.75,7: Joint Maintenance,1057,3305.0,5: EV
20.75,8: Joint Discretionary,776,6650.0,5: EV
20.75,9: Work-based,490,543.0,5: EV
21.25,1: Work,2252,16375.0,5: EV
21.25,2: University,155,3143.0,5: EV
21.25,3: School,113,377.0,5: EV
21.25,4: Escort,7233,8884.0,5: EV
21.25,5: Individual Maintenance,4098,12642.0,5: EV
21.25,6: Individual Discretionary,3655,35590.0,5: EV
21.25,7: Joint Maintenance,656,2346.0,5: EV
21.25,8: Joint Discretionary,505,6513.0,5: EV
21.25,9: Work-based,443,547.0,5: EV
21.75,1: Work,1699,14483.0,5: EV
21.75,2: University,120,2502.0,5: EV
21.75,3: School,119,389.0,5: EV
21.75,4: Escort,6062,7564.0,5: EV
21.75,5: Individual Maintenance,2829,9041.0,5: EV
21.75,6: Individual Discretionary,2720,14475.0,5: EV
21.75,7: Joint Maintenance,445,1666.0,5: EV
21.75,8: Joint Discretionary,299,2539.0,5: EV
21.75,9: Work-based,387,524.0,5: EV
22.25,1: Work,1208,13085.0,5: EV
22.25,2: University,71,2149.0,5: EV
22.25,3: School,81,415.0,5: EV
22.25,4: Escort,5142,6653.0,5: EV
22.25,5: Individual Maintenance,1940,6522.0,5: EV
22.25,6: Individual Discretionary,2090,12980.0,5: EV
22.25,7: Joint Maintenance,280,1133.0,5: EV
22.25,8: Joint Discretionary,227,1701.0,5: EV
22.25,9: Work-based,324,518.0,5: EV
22.75,1: Work,880,12428.0,5: EV
22.75,2: University,27,1654.0,5: EV
22.75,3: School,75,435.0,5: EV
22.75,4: Escort,4472,5798.0,5: EV
22.75,5: Individual Maintenance,1156,4842.0,5: EV
22.75,6: Individual Discretionary,1604,8267.0,5: EV
22.75,7: Joint Maintenance,169,791.0,5: EV
22.75,8: Joint Discretionary,160,968.0,5: EV
22.75,9: Work-based,277,537.0,5: EV
23.25,1: Work,595,12822.0,5: EV
23.25,2: University,4,1181.0,5: EV
23.25,3: School,44,437.0,5: EV
23.25,4: Escort,3802,4954.0,5: EV
23.25,5: Individual Maintenance,770,3557.0,5: EV
